ENSMUSG00000008575	ENSMUSG00000005583	ENSMUSG00000040732	ENSMUSG00000025959	ENSMUSG00000000317	ENSMUSG00000020160	ENSMUSG00000064141	ENSMUSG00000032035	ENSMUSG00000050919	ENSMUSG00000031627	ENSMUSG00000069378	ENSMUSG00000044167	ENSMUSG00000031103	ENSMUSG00000025529	ENSMUSG00000029553	ENSMUSG00000006311	ENSMUSG00000055435	ENSMUSG00000022895	ENSMUSG00000053477	ENSMUSG00000018604	ENSMUSG00000008398	ENSMUSG00000029178	ENSMUSG00000024238	ENSMUSG00000027684	ENSMUSG00000062327	ENSMUSG00000028565	ENSMUSG00000000078	ENSMUSG00000023902	ENSMUSG00000027583	ENSMUSG00000028163	ENSMUSG00000038227	ENSMUSG00000024985	ENSMUSG00000053007	ENSMUSG00000022150	ENSMUSG00000040929	ENSMUSG00000046470	ENSMUSG00000024406	ENSMUSG00000020484	ENSMUSG00000000094	ENSMUSG00000024140	ENSMUSG00000063632	ENSMUSG00000044220	ENSMUSG00000025902	ENSMUSG00000026628	ENSMUSG00000040270	ENSMUSG00000020185	ENSMUSG00000057098	ENSMUSG00000038236	ENSMUSG00000055148	ENSMUSG00000027210	ENSMUSG00000030788	ENSMUSG00000042439	ENSMUSG00000048402	ENSMUSG00000032446	ENSMUSG00000030341	ENSMUSG00000027361	ENSMUSG00000027547	ENSMUSG00000000938	ENSMUSG00000068551	ENSMUSG00000018698	ENSMUSG00000058881	ENSMUSG00000055799	ENSMUSG00000028466	ENSMUSG00000071637	ENSMUSG00000048410	ENSMUSG00000040433	ENSMUSG00000034041	ENSMUSG00000021877	ENSMUSG00000047003	ENSMUSG00000007805	ENSMUSG00000079277	ENSMUSG00000075040	ENSMUSG00000055053	ENSMUSG00000033713	ENSMUSG00000026436	ENSMUSG00000016087	ENSMUSG00000056758	ENSMUSG00000075588	ENSMUSG00000026104	ENSMUSG00000038700	ENSMUSG00000026398	ENSMUSG00000036139	ENSMUSG00000021972	ENSMUSG00000021506	ENSMUSG00000037465	ENSMUSG00000023079	ENSMUSG00000099083	ENSMUSG00000038210	ENSMUSG00000019564	ENSMUSG00000034762	ENSMUSG00000062991	ENSMUSG00000022346	ENSMUSG00000019256	ENSMUSG00000026890	ENSMUSG00000002393	ENSMUSG00000038151	ENSMUSG00000015522	ENSMUSG00000040289	ENSMUSG00000030544	ENSMUSG00000030199	ENSMUSG00000008575peak	ENSMUSG00000005583peak	ENSMUSG00000040732peak	ENSMUSG00000025959peak	ENSMUSG00000000317peak	ENSMUSG00000020160peak	ENSMUSG00000064141peak	ENSMUSG00000032035peak	ENSMUSG00000050919peak	ENSMUSG00000031627peak	ENSMUSG00000069378peak	ENSMUSG00000044167peak	ENSMUSG00000031103peak	ENSMUSG00000025529peak	ENSMUSG00000029553peak	ENSMUSG00000006311peak	ENSMUSG00000055435peak	ENSMUSG00000022895peak	ENSMUSG00000053477peak	ENSMUSG00000018604peak	ENSMUSG00000008398peak	ENSMUSG00000029178peak	ENSMUSG00000024238peak	ENSMUSG00000027684peak	ENSMUSG00000062327peak	ENSMUSG00000028565peak	ENSMUSG00000000078peak	ENSMUSG00000023902peak	ENSMUSG00000027583peak	ENSMUSG00000028163peak	ENSMUSG00000038227peak	ENSMUSG00000024985peak	ENSMUSG00000053007peak	ENSMUSG00000022150peak	ENSMUSG00000040929peak	ENSMUSG00000046470peak	ENSMUSG00000024406peak	ENSMUSG00000020484peak	ENSMUSG00000000094peak	ENSMUSG00000024140peak	ENSMUSG00000063632peak	ENSMUSG00000044220peak	ENSMUSG00000025902peak	ENSMUSG00000026628peak	ENSMUSG00000040270peak	ENSMUSG00000020185peak	ENSMUSG00000057098peak	ENSMUSG00000038236peak	ENSMUSG00000055148peak	ENSMUSG00000027210peak	ENSMUSG00000030788peak	ENSMUSG00000042439peak	ENSMUSG00000048402peak	ENSMUSG00000032446peak	ENSMUSG00000030341peak	ENSMUSG00000027361peak	ENSMUSG00000027547peak	ENSMUSG00000000938peak	ENSMUSG00000068551peak	ENSMUSG00000018698peak	ENSMUSG00000058881peak	ENSMUSG00000055799peak	ENSMUSG00000028466peak	ENSMUSG00000071637peak	ENSMUSG00000048410peak	ENSMUSG00000040433peak	ENSMUSG00000034041peak	ENSMUSG00000021877peak	ENSMUSG00000047003peak	ENSMUSG00000007805peak	ENSMUSG00000079277peak	ENSMUSG00000075040peak	ENSMUSG00000055053peak	ENSMUSG00000033713peak	ENSMUSG00000026436peak	ENSMUSG00000016087peak	ENSMUSG00000056758peak	ENSMUSG00000075588peak	ENSMUSG00000026104peak	ENSMUSG00000038700peak	ENSMUSG00000026398peak	ENSMUSG00000036139peak	ENSMUSG00000021972peak	ENSMUSG00000021506peak	ENSMUSG00000037465peak	ENSMUSG00000023079peak	ENSMUSG00000099083peak	ENSMUSG00000038210peak	ENSMUSG00000019564peak	ENSMUSG00000034762peak	ENSMUSG00000062991peak	ENSMUSG00000022346peak	ENSMUSG00000019256peak	ENSMUSG00000026890peak	ENSMUSG00000002393peak	ENSMUSG00000038151peak	ENSMUSG00000015522peak	ENSMUSG00000040289peak	ENSMUSG00000030544peak	ENSMUSG00000030199peak
endo50	1	0	1	2	0	0	0	1	1	0	0	0	0	6	0	0	1	0	4	0	2	1	6	0	0	0	1	0	0	2	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	1	1	0	0	0	0	1	1	0	1	1	0	0	1	0	0	0	1	0	1	0	6	2	0	0	0	1	0	1	0	1	0	0	0	1	0	6	0	0	0	0	0	1	0	0	2	0	4	1	5	0	2	0	4	2	0	0	0	8	0	0	2	2	1	1	0	0	8	2	3	4	0	4	0	0	0	4	2	2	2	0	4	0	0	1	0	0	2	3	0	8	0	0	0	2	0	2	0	0	2	3	1	1	0	4	1	2	3	4	1	0	0	4	2	0	0	0	2	4	0	0	1	1	0	0	0	1	0	1	2	2	4	0	4	2	1	5	0	0	1	1	4	2	2	0	2
hep1	1	0	1	1	0	0	0	0	0	1	3	0	0	1	0	0	0	0	9	0	1	0	1	0	1	0	1	0	0	2	0	2	0	0	3	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	1	0	1	1	2	0	0	0	0	1	0	0	1	1	0	3	0	0	0	0	0	6	1	5	6	0	0	0	0	0	1	0	0	1	3	0	1	1	19	1	0	0	1	0	1	0	0	0	3	0	5	5	1	2	0	1	1	1	2	0	0	0	0	0	0	1	3	4	3	3	0	8	3	1	1	3	4	2	0	4	4	0	4	1	1	1	0	1	1	0	1	5	17	3	10	0	4	5	0	2	3	1	4	2	2	1	4	3	3	2	1	0	4	0	4	0	3	1	9	2	1	4	1	1	1	0	0	3	3	1	1	3	4	2	1	1	3	10	8	0	0	0	1	1	1	3	2	7
hep2	1	0	0	0	0	0	0	1	0	0	3	0	0	5	0	0	1	1	3	0	1	0	1	0	1	0	0	0	0	0	0	3	0	0	5	0	1	1	0	0	2	0	0	0	2	0	1	0	0	1	0	0	1	1	0	1	0	0	0	0	1	1	0	0	5	1	0	1	0	0	0	0	0	3	0	3	2	0	0	0	0	0	1	0	0	0	1	0	0	1	9	0	0	0	1	0	0	0	0	3	18	0	0	3	1	3	3	18	0	1	0	0	0	0	0	0	0	0	18	0	0	3	0	0	0	0	3	0	0	0	0	14	3	0	14	0	0	0	3	0	3	0	0	0	1	0	0	1	0	3	0	0	0	0	0	14	0	0	0	0	3	14	0	0	0	1	0	0	3	14	0	0	0	0	3	3	3	1	0	0	0	0	0	0	18	1	0	0	0	3	1	1	0	0	14	0	1	1	0	18
hep3	0	1	0	3	0	0	0	0	0	1	0	3	0	0	0	2	0	0	3	1	1	0	1	1	3	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	1	0	0	0	0	0	9	0	0	3	1	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	14	0	11	4	0	0	0	1	0	1	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	7	14	1	4	6	2	2	0	0	1	4	2	0	0	0	0	0	1	2	2	1	1	2	1	1	0	2	0	0	0	1	0	1	2	1	2	0	0	0	1	0	0	2	1	2	9	1	2	0	2	2	0	2	6	0	1	0	2	1	4	0	11	12	0	1	2	0	0	1	0	0	1	0	1	6	4	2	1	0	0	0	0	0	1	1	1	0	1	0	0	1	1	2	0	0	0	0	0	1	1	4
hep4	0	0	0	0	0	0	0	1	0	1	2	0	0	8	0	0	0	1	4	1	0	0	1	0	1	0	1	0	0	1	0	1	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	9	0	0	0	0	0	0	1	0	0	2	0	0	1	0	5	0	0	0	0	0	1	0	0	1	5	5	7	5	0	1	0	13	2	1	1	2	2	1	0	2	0	0	8	0	2	1	0	2	1	2	0	0	1	1	0	0	1	1	5	1	0	0	0	1	0	0	1	2	2	0	1	0	1	2	1	2	1	0	1	2	5	0	1	0	0	1	2	0	1	1	1	2	0	0	1	0	2	10	0	1	2	0	0	0	0	2	0	1	0	0	0	0	0	2	1	1	1	1	1	8	0	1	0	5
hep5	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0	0	1	1	2	1	0	0	1	0	5	0	1	0	2	1	0	4	1	1	1	1	0	0	0	0	2	0	1	0	1	0	0	0	0	1	0	1	1	0	0	1	1	0	0	0	1	0	0	0	2	0	0	1	0	0	0	1	0	4	1	11	7	1	0	0	0	0	2	0	0	0	0	0	0	0	8	1	0	0	0	0	1	0	0	5	0	0	0	2	0	0	0	2	0	18	0	2	0	0	0	0	0	1	4	2	0	0	0	2	4	1	2	0	0	0	0	0	2	0	2	2	0	4	0	0	4	0	1	0	8	2	0	0	0	2	0	2	0	2	1	0	0	0	0	0	1	18	0	1	0	0	0	0	0	0	8	0	4	18	0	1	0	0	0	0	1	0	0	0	4	0	0	0	0	1	2	0	0	0	2	18	0	0	0	0
hep6	1	0	0	0	0	0	1	0	0	0	7	1	0	0	0	1	1	0	1	0	3	0	3	0	3	0	1	3	1	1	0	1	0	0	1	0	1	1	0	0	5	0	0	0	4	0	1	0	0	0	0	1	0	1	3	0	3	0	0	0	1	3	0	0	4	0	0	1	0	0	0	1	0	1	1	1	12	0	0	0	0	0	3	0	0	1	1	0	1	0	1	1	0	0	0	0	0	0	1	4	6	6	1	2	0	7	0	2	0	1	5	2	1	2	2	1	1	0	5	5	1	5	2	7	1	2	2	2	0	5	1	3	5	0	2	0	1	1	1	5	2	3	1	1	6	2	7	2	2	6	2	5	6	1	2	0	1	3	1	3	1	10	2	1	5	1	0	1	0	0	7	0	2	17	3	3	1	3	0	0	1	2	8	5	2	2	1	1	1	5	9	3	1	2	5	3	1	1	1	7
hep7	0	0	1	1	0	0	0	1	0	0	2	0	0	4	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	4	0	1	0	1	1	0	2	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	2	0	0	3	0	0	2	0	0	0	0	0	5	1	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	2	2	0	7	1	4	1	1	2	1	0	2	1	1	0	0	1	0	2	2	2	0	1	1	7	0	0	0	1	2	4	1	2	1	0	10	0	0	0	1	1	0	0	0	2	4	0	9	0	0	1	1	2	0	1	0	0	2	1	1	4	10	2	1	0	7	0	1	2	0	0	2	0	4	1	2	2	2	1	0	0	2	0	4	0	1	2	1	0	2	2	4	1	4	0	1	1	1	2	1	2
hep8	1	0	1	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	4	2	1	0	2	0	2	0	1	1	0	0	0	1	0	0	2	0	1	1	0	0	2	0	0	0	0	1	2	0	0	1	0	1	0	1	1	0	1	0	1	0	0	4	0	0	2	0	0	1	0	0	0	0	0	2	0	8	1	0	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0	0	1	0	2	0	0	7	6	3	4	0	1	7	1	1	1	3	1	4	0	0	0	3	1	1	5	9	5	3	1	2	3	5	4	1	0	1	1	4	1	0	4	3	4	1	1	4	3	0	0	4	5	3	9	3	1	3	0	2	14	1	1	6	4	1	4	3	2	6	0	1	2	0	4	2	2	0	6	1	15	9	4	0	5	2	1	1	11	1	2	1	4	1	5	2	3	4	6	5	0	3	2	0	1	1	1	5
hep9	7	1	0	1	0	0	2	0	0	0	11	0	1	2	0	0	1	0	1	0	1	0	2	0	1	2	0	0	0	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	8	0	0	0	0	0	1	0	2	19	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	4	2	0	3	9	6	0	6	0	6	0	2	0	0	2	2	0	0	2	0	0	0	7	0	6	9	0	6	0	4	2	0	4	4	0	13	0	0	0	6	0	0	2	4	3	0	0	1	2	3	0	0	1	2	2	0	7	0	0	1	0	2	2	4	6	2	3	0	6	0	0	5	2	1	0	0	2	5	2	2	2	2	0	3	1	0	2	2	3	3	2	0	2	0	3	0	0	0	6	7	2	2	0	12
hep10	0	0	0	1	0	1	0	2	0	0	2	0	0	3	0	1	1	1	1	0	2	0	8	1	2	0	0	1	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	1	1	1	0	0	1	0	0	1	1	2	1	0	1	0	0	3	0	0	0	0	0	1	0	18	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3	0	0	0	1	0	0	0	0	4	7	1	4	1	0	5	1	7	4	1	2	0	0	1	0	2	1	0	7	6	4	2	0	7	4	7	1	0	2	6	0	2	1	0	0	0	0	1	2	6	4	1	1	0	8	2	4	0	1	1	1	2	5	0	0	1	2	0	2	2	1	2	4	0	1	0	4	0	2	0	6	0	7	2	1	1	10	1	1	0	0	0	1	4	2	0	4	0	2	4	7	1	1	0	1	7	4	1	0	4
hep11	1	0	0	0	0	0	1	0	0	0	5	0	0	0	0	1	1	0	5	0	0	0	0	0	4	0	2	0	0	0	0	2	0	2	4	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	4	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	0	2	0	0	0	0	0	1	0	0	2	1	0	0	1	0	1	0	0	0	0	0	0	1	4	18	0	0	0	0	18	0	18	0	0	0	1	18	0	0	0	0	1	0	0	2	2	0	18	0	1	14	0	0	2	0	18	0	2	0	0	18	0	2	2	2	1	18	18	2	0	0	0	0	18	0	1	1	0	2	0	0	0	18	2	18	0	2	0	0	0	1	18	2	2	18	2	14	2	0	0	0	0	0	2	2	0	0	2	2	18	0	0	2	2	2	2	2	2	0	2	0	18	0	0
hep12	1	1	0	0	0	1	0	1	0	0	7	0	1	0	0	0	1	0	7	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	2	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	1	0	0	2	0	0	0	2	0	0	0	0	0	2	0	0	1	2	2	0	0	2	0	0	0	1	2	0	0	2	0	0	0	0	0	0	0	2	0	0	0	2	1	0	0	0	2	0	0	4	18	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	18	0	2	18	2	0	2	14	0	0	0	1	1	2	0	0	0	0	0	0	1	2	1	2	0	2	2	0	0	0	18
hep13	0	0	0	0	0	0	0	1	0	0	3	0	0	1	0	0	0	0	3	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	3	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	1	0	0	0	1	11	0	0	0	0	0	0	0	0	0	3	4	7	3	3	4	0	0	1	0	0	3	4	1	1	1	0	0	6	1	4	7	2	6	0	3	1	1	4	3	1	8	0	2	1	0	0	0	0	4	1	0	0	6	4	1	3	4	0	7	1	0	3	0	0	0	3	3	1	3	6	8	1	0	4	0	4	1	0	0	4	0	1	2	0	0	1	1	0	0	0	0	2	1	1	1	4	0	2	6	6	1	1	0	1	1	2	6	0	3
hep14	0	0	1	0	0	1	1	1	0	0	2	0	0	1	0	1	1	1	4	0	3	0	1	0	1	0	1	0	0	0	0	1	0	1	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	1	0	1	1	0	2	0	0	0	0	0	5	0	6	1	0	0	0	0	0	0	0	0	0	1	0	1	1	6	0	0	0	0	0	0	0	0	5	2	0	0	4	2	1	0	1	2	1	0	0	2	0	0	2	3	0	14	0	0	0	0	2	0	1	3	0	1	3	2	0	2	0	0	0	2	0	0	0	0	0	2	4	4	2	4	2	0	0	0	3	2	3	0	8	4	0	12	0	0	1	0	4	3	0	1	0	1	0	4	0	1	1	0	4	1	0	0	0	1	0	12	0	0	2	2	2	0	0	0	2	2	2	0	3	0	0	0	2
hep15	1	0	0	3	0	1	0	3	0	1	7	0	0	2	0	0	0	0	6	1	1	0	3	0	0	0	0	0	0	0	0	5	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	1	2	0	0	1	0	0	2	0	0	1	0	0	3	0	3	0	0	0	0	0	0	3	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	0	1	2	0	6	0	2	3	0	4	2	0	1	0	0	0	0	0	3	0	1	3	0	0	0	2	0	0	2	2	0	0	0	3	0	0	0	2	0	0	0	2	2	0	0	2	13	0	3	0	0	3	2	0	4	0	0	3	1	0	0	0	2	6	2	0	0	0	4	4	0	2	0	0	0	2	0	2	0	0	0	1	4	0	2	0	4	0	3	0	0	0	0	1	2	0	4	2	0	3	0	3
hep16	1	3	1	0	0	4	0	0	0	0	0	1	0	1	0	1	1	0	1	0	3	0	3	0	0	1	0	1	1	1	0	2	0	2	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	3	1	0	1	0	0	1	0	0	0	0	0	1	1	6	8	1	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	1	4	3	9	3	3	2	0	0	5	6	1	9	2	0	0	0	0	0	0	5	1	1	4	4	17	2	6	4	2	6	4	0	5	2	0	9	1	0	0	1	2	3	0	0	13	17	0	0	0	0	9	0	1	4	0	0	0	2	2	1	2	9	4	0	6	4	0	6	1	0	0	4	4	3	13	2	2	0	0	1	0	2	0	0	2	3	5	0	0	6	9	6	0	0	2	9	9	0	0	0	10
hep17	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	2	0	5	0	4	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	2	0	0	0	2	0	0	2	1	1	0	0	0	1	1	0	0	0	0	2	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	2	0	16	1	0	0	0	0	0	4	0	0	1	0	0	1	0	3	0	0	0	0	0	1	0	0	4	7	1	1	4	1	1	0	4	0	3	3	1	0	1	1	0	0	3	7	4	1	0	1	7	1	1	3	0	7	9	1	7	3	1	1	1	3	3	1	4	1	1	1	0	4	0	4	0	1	7	1	1	7	1	0	1	1	1	0	3	4	1	1	0	0	0	4	1	0	1	7	1	7	4	0	1	3	1	0	1	0	0	7	1	1	7	3	0	0	1	1	1	0	1	0	4	0	1	1	7
hep18	1	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	2	2	1	0	1	0	1	1	1	0	1	0	0	0	0	1	1	0	0	2	0	0	3	0	0	0	3	2	0	0	0	1	0	2	1	1	0	0	2	0	0	0	1	0	1	0	2	0	0	1	0	0	0	1	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	2	2	2	4	4	2	2	0	2	0	0	6	2	2	0	1	2	0	0	7	1	2	6	0	12	1	0	2	2	1	4	1	7	1	0	2	0	1	0	2	1	0	1	0	8	7	2	5	0	4	4	0	1	4	7	1	2	2	0	4	7	6	4	2	2	0	0	0	2	4	0	4	2	13	6	1	4	2	0	1	0	0	2	1	0	5	2	5	1	2	6	1	2	1	4	5	2	2	4	0	4
hep19	1	0	0	1	0	0	0	0	0	1	4	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	3	0	1	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	1	1	0	3	0	0	1	0	0	3	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	3	4	2	0	2	0	4	0	0	0	1	4	1	1	0	0	1	0	0	7	0	1	1	0	4	0	1	1	2	1	2	0	2	1	1	4	0	0	0	2	1	0	4	0	4	4	0	7	1	1	2	0	4	4	1	0	2	1	1	2	2	7	1	1	0	0	1	1	0	1	0	4	0	7	4	1	1	1	0	1	0	0	0	2	1	0	1	1	1	4	2	9	2	1	4	0	1	0	1	1	8
hep20	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	11	1	1	8	0	5	3	3	1	0	0	1	1	0	3	1	1	1	1	5	1	3	1	9	1	1	0	1	0	6	1	6	6	0	3	0	3	3	0	0	1	0	0	1	6	1	1	1	5	1	0	0	11	0	1	0	0	0	3	1	3	3	1	0	1	0	1	0	1	0	6	0	6	3	0	1	1	1	0	0	1	1	1	1	5	1	1	0	1	5	0	1	0	6	0	0	1	5	1	8
hep21	0	0	0	0	0	0	0	0	0	0	7	1	0	7	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	1	0	2	0	1	0	0	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	7	0	0	0	0	0	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	10	1	1	5	1	7	3	5	1	0	1	5	3	1	3	1	3	1	5	0	1	7	1	7	1	3	0	0	5	5	1	7	7	0	1	0	0	1	0	3	0	3	1	1	12	3	3	0	0	7	1	1	1	1	3	1	1	0	3	3	1	9	1	0	3	1	0	1	0	0	1	0	3	7	1	1	3	1	1	0	0	0	5	0	1	0	1	0	1	12	5	1	0	3	1	5	1	1	0	5
hep22	1	0	0	0	0	0	0	1	0	0	1	0	0	5	0	0	1	0	2	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	1	0	0	1	0	0	3	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	2	0	0	0	2	3	0	0	0	0	0	0	0	0	8	2	0	3	4	0	2	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	15	0	2	0	0	2	15	3	2	0	0	0	3	2	0	1	0	0	0	0	0	3	0	0	2	2	1	0	0	2	0	2	0	2	0	2	3	3	15	1	0	0	0	0	0	2	0	15	3	15	2	1	2	0	1	0	0	2	2	1	0	2	0	0	0	0	0	15	6	2	2	1	2	0	0	0	15
hep23	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	2	0	0	0	0	0	1	0	0	1	0	0	1	1	14	0	0	0	1	0	0	0	0	0	11	4	2	6	1	4	0	5	1	2	1	0	0	0	0	4	0	1	0	2	5	1	1	17	2	2	2	4	1	2	0	16	1	2	2	0	1	0	2	0	2	2	2	8	2	2	5	2	1	5	1	6	2	0	2	6	1	0	4	4	10	6	4	0	2	2	2	4	0	1	8	1	2	8	0	5	2	2	0	0	1	1	2	0	5	5	0	1	2	4	12	6	1	1	4	4	1	4	0	6
hep24	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	3	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	1	4	0	0	1	0	0	0	0	0	0	0	0	2	0	4	2	0	0	0	0	0	1	0	1	1	0	0	1	0	1	0	0	0	1	0	0	0	0	6	8	2	2	7	0	7	0	2	0	2	2	1	2	0	0	1	0	1	1	2	0	2	0	2	1	4	2	0	7	2	0	1	1	2	0	4	0	0	1	1	0	2	4	4	9	1	0	0	0	4	0	1	1	1	1	1	1	0	1	0	9	2	4	1	1	2	0	2	2	0	7	1	1	1	0	10	0	1	1	0	1	4	2	4	4	2	0	0	0	6	6	2	0	0	1	0	2	4	0	4
hep25	1	0	0	0	0	1	0	0	0	0	8	2	0	1	0	1	0	0	1	0	1	1	2	0	1	0	1	0	1	1	0	2	0	0	4	0	0	0	0	0	4	0	1	0	2	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	2	1	0	0	1	1	0	1	0	0	0	0	0	4	0	1	11	0	0	0	0	0	2	0	0	1	4	0	1	1	0	0	0	0	1	0	1	0	1	4	0	0	0	4	0	1	0	4	0	0	1	0	0	2	0	2	0	0	0	15	0	15	1	2	0	2	15	1	0	0	0	0	0	2	2	0	0	0	0	0	0	2	0	0	0	0	2	0	2	0	0	2	0	0	0	1	1	0	15	0	0	0	2	0	0	0	0	0	2	0	0	2	4	2	0	0	4	0	0	0	0	0	2	1	1	0	0	0	0	0	4	0	0	0	2	0	2	0	0	2
hep26	0	0	0	0	0	0	0	2	0	1	3	0	0	0	0	0	1	0	1	1	1	1	2	1	4	0	0	0	1	1	0	3	1	1	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	2	0	0	0	1	0	0	0	4	0	0	2	0	0	0	0	0	3	0	15	3	1	0	0	0	0	0	0	0	1	1	0	0	1	9	1	0	0	0	0	1	0	0	1	0	2	0	2	4	2	1	2	0	4	0	6	4	2	0	0	0	4	4	2	0	5	1	9	2	3	0	0	0	2	0	4	6	0	4	0	0	3	2	0	4	0	1	0	1	4	0	0	2	4	4	5	1	2	0	2	3	0	0	0	1	0	0	1	1	0	0	2	0	2	0	0	1	2	2	2	0	2	2	2	0	0	3	0	2	0	0	0	3	0	4	0	0	1	2	0	0	5	0	15
hep27	0	0	0	0	0	2	0	0	0	0	2	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	3	0	3	0	0	0	0	0	0	3	0	1	0	0	1	0	0	0	1	0	0	2	0	0	0	1	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	1	2	0	1	3	1	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	17	0	17	0	0	2	0	0	1	0	0	0	2	0	0	0	2	0	2	0	2	1	0	0	2	2	0	0	0	2	0	17	0	0	17	0	0	0	0	0	0	17	0	17	0	0	0	0	0	0	1	19	0	0	0	0	2	0	2	17	0	0	0	0	0	0	0	0	0	0	2	0	17	0	0	0	0	1	0	0	2	2	0	0	0	1	0	0	17	2	0	0	2	17	0	0	0	2	0	2
